[Epoch: 0, numImages:   400]Loss: 11.814
Validation:[Epoch: 0, numImages:   100]Acc:0.21976692199707032, Acc_class:0.16456933921456887, mIoU:0.07128278782733466, fwIoU: 0.11723577718966206Loss: 0.066
[Epoch: 1, numImages:   400]Loss: 11.800
Validation:[Epoch: 1, numImages:   100]Acc:0.23026271820068359, Acc_class:0.21200751899106574, mIoU:0.10772778692947016, fwIoU: 0.1318909763223406Loss: 0.065
[Epoch: 2, numImages:   400]Loss: 11.786
Validation:[Epoch: 2, numImages:   100]Acc:0.28996253967285157, Acc_class:0.27350802536252344, mIoU:0.14033356590919907, fwIoU: 0.1704126076433008Loss: 0.061
[Epoch: 3, numImages:   400]Loss: 11.773
Validation:[Epoch: 3, numImages:   100]Acc:0.3347953796386719, Acc_class:0.2929137814103724, mIoU:0.15057907208508464, fwIoU: 0.19659660424169792Loss: 0.058
[Epoch: 4, numImages:   400]Loss: 11.762
Validation:[Epoch: 4, numImages:   100]Acc:0.37177387237548826, Acc_class:0.311185093380681, mIoU:0.1640404535829671, fwIoU: 0.21668802582047078Loss: 0.056
[Epoch: 5, numImages:   400]Loss: 11.753
Validation:[Epoch: 5, numImages:   100]Acc:0.4162710189819336, Acc_class:0.3327603661978918, mIoU:0.1841543272516561, fwIoU: 0.24402273620012Loss: 0.054
[Epoch: 6, numImages:   400]Loss: 11.746
Validation:[Epoch: 6, numImages:   100]Acc:0.45227813720703125, Acc_class:0.3501130450309217, mIoU:0.20582970004057025, fwIoU: 0.2694938597183599Loss: 0.051
[Epoch: 7, numImages:   400]Loss: 11.743
Validation:[Epoch: 7, numImages:   100]Acc:0.4736501312255859, Acc_class:0.3596447897143548, mIoU:0.22062713494418423, fwIoU: 0.28612793956816224Loss: 0.048
[Epoch: 8, numImages:   400]Loss: 11.735
Validation:[Epoch: 8, numImages:   100]Acc:0.4819593811035156, Acc_class:0.3649924269018309, mIoU:0.22732844565303462, fwIoU: 0.29226532609559325Loss: 0.047
[Epoch: 9, numImages:   400]Loss: 11.732
Validation:[Epoch: 9, numImages:   100]Acc:0.49119815826416013, Acc_class:0.37054085063369696, mIoU:0.23541931179209982, fwIoU: 0.3001863296669393Loss: 0.046
[Epoch: 10, numImages:   400]Loss: 11.728
Validation:[Epoch: 10, numImages:   100]Acc:0.49866661071777346, Acc_class:0.3771893341223529, mIoU:0.24225934123949416, fwIoU: 0.3072857654888823Loss: 0.045
[Epoch: 11, numImages:   400]Loss: 11.724
Validation:[Epoch: 11, numImages:   100]Acc:0.5026969909667969, Acc_class:0.38004764601407404, mIoU:0.24648562018952208, fwIoU: 0.3110127208702937Loss: 0.044
[Epoch: 12, numImages:   400]Loss: 11.721
Validation:[Epoch: 12, numImages:   100]Acc:0.5078413772583008, Acc_class:0.38427577678165464, mIoU:0.25168138790548533, fwIoU: 0.3166369490825135Loss: 0.043
[Epoch: 13, numImages:   400]Loss: 11.719
Validation:[Epoch: 13, numImages:   100]Acc:0.5122671508789063, Acc_class:0.3889651954775755, mIoU:0.2558574690301484, fwIoU: 0.32122827462062536Loss: 0.042
[Epoch: 14, numImages:   400]Loss: 11.719
Validation:[Epoch: 14, numImages:   100]Acc:0.5164512252807617, Acc_class:0.39244528041316007, mIoU:0.2599350137864887, fwIoU: 0.3258600630859821Loss: 0.041
[Epoch: 15, numImages:   400]Loss: 11.715
Validation:[Epoch: 15, numImages:   100]Acc:0.5198003768920898, Acc_class:0.3946178891278884, mIoU:0.2653473941839554, fwIoU: 0.3297935227467669Loss: 0.040
[Epoch: 16, numImages:   400]Loss: 11.711
Validation:[Epoch: 16, numImages:   100]Acc:0.5217688369750977, Acc_class:0.39607880792878547, mIoU:0.2664783862752894, fwIoU: 0.33144999938463526Loss: 0.039
[Epoch: 17, numImages:   400]Loss: 11.709
Validation:[Epoch: 17, numImages:   100]Acc:0.5234356689453125, Acc_class:0.3979456799414947, mIoU:0.26827760647257726, fwIoU: 0.3335091439716042Loss: 0.039
[Epoch: 18, numImages:   400]Loss: 11.708
Validation:[Epoch: 18, numImages:   100]Acc:0.5261738204956055, Acc_class:0.40028019753078914, mIoU:0.27134364609072154, fwIoU: 0.3369602487516565Loss: 0.038
[Epoch: 19, numImages:   400]Loss: 11.707
Validation:[Epoch: 19, numImages:   100]Acc:0.5290963745117188, Acc_class:0.40266096912166865, mIoU:0.2749342793815, fwIoU: 0.3401047092532014Loss: 0.037
[Epoch: 20, numImages:   400]Loss: 11.706
Validation:[Epoch: 20, numImages:   100]Acc:0.53057861328125, Acc_class:0.40400868051809924, mIoU:0.2765169004264407, fwIoU: 0.34175900940207043Loss: 0.037
[Epoch: 21, numImages:   400]Loss: 11.704
Validation:[Epoch: 21, numImages:   100]Acc:0.5328544235229492, Acc_class:0.40597481766102606, mIoU:0.2780917864959071, fwIoU: 0.34375581649353804Loss: 0.036
[Epoch: 22, numImages:   400]Loss: 11.703
Validation:[Epoch: 22, numImages:   100]Acc:0.5337395477294922, Acc_class:0.4071355603661399, mIoU:0.2797441963370476, fwIoU: 0.34530147407794026Loss: 0.036
[Epoch: 23, numImages:   400]Loss: 11.701
Validation:[Epoch: 23, numImages:   100]Acc:0.5357084274291992, Acc_class:0.4086463668357294, mIoU:0.2819881133442384, fwIoU: 0.3473898560394886Loss: 0.035
[Epoch: 24, numImages:   400]Loss: 11.701
